customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday
13045,female,abbey storkey,blue mountain heights,qld,queensland,4350,australia,australia,1957-10-19
13071,female,claudia fuller,cuballing,wa,western australia,6311,australia,australia,1973-06-28
13232,female,maya coates,unley bc,sa,south australia,5061,australia,australia,1985-08-12
13365,male,mitchell cutlack,moonem,nsw,new south wales,2471,australia,australia,1961-01-02
13607,female,gemma maum,mambray creek,sa,south australia,5495,australia,australia,1954-09-21
14069,male,jacob gairdner,rob roy,nsw,new south wales,2360,australia,australia,1949-05-24
14180,female,ava lockyer,kalgoorlie,wa,western australia,6430,australia,australia,1998-05-14
14275,female,dakota dunshea,bentley,nsw,new south wales,2480,australia,australia,1979-05-02
14906,female,grace houghton,boyer,tas,tasmania,7140,australia,australia,1982-11-16
14962,female,mackenzie newell,crestwood,nsw,new south wales,2153,australia,australia,1936-04-05
14988,female,emily thirkell,wyndham vale,vic,victoria,3024,australia,australia,1958-07-24
15109,female,sara marsden,whale beach,nsw,new south wales,2107,australia,australia,1999-08-18
15385,male,harry morgans,doongin,wa,western australia,6409,australia,australia,1995-05-11
15391,female,elizabeth horsley,marraweeney,vic,victoria,3669,australia,australia,1989-01-25
15569,female,chelsea weekes,colac,vic,victoria,3250,australia,australia,1983-09-08
15718,female,natalie tennant,dakenba,qld,queensland,4715,australia,australia,1957-02-20
16193,female,isabelle beggs,altona,sa,south australia,5351,australia,australia,1964-05-10
16282,female,evie kirkhope,reids flat,nsw,new south wales,2586,australia,australia,2000-05-11
16716,female,abby frater,kayuga,nsw,new south wales,2333,australia,australia,1987-12-16
17412,male,mitchell kwok,victoria park,wa,western australia,6100,australia,australia,1969-08-31
17811,female,alicia hoy,wattle glen,vic,victoria,3096,australia,australia,1985-10-15
18067,male,rory koerstz,mount mckenzie,sa,south australia,5353,australia,australia,1941-10-26
18263,male,callum semmens,rural view,qld,queensland,4740,australia,australia,1978-06-01
18309,male,michael vogt,fyans creek,vic,victoria,3381,australia,australia,1992-01-07
18470,male,zac pryor,gosford,nsw,new south wales,2250,australia,australia,1969-03-12
18493,male,george kevin,tascott,nsw,new south wales,2250,australia,australia,1994-09-27
18714,male,ashton aitken,pinwernying,wa,western australia,6317,australia,australia,1972-08-13
18887,female,zara castleton,boorolite,vic,victoria,3723,australia,australia,1978-11-25
19082,male,matthew denman,ransome,qld,queensland,4154,australia,australia,1939-04-06
19207,male,luke casimaty,kurraca,vic,victoria,3518,australia,australia,1991-01-19
19404,male,cody o'hea,wynnum,qld,queensland,4178,australia,australia,1997-06-10
19534,female,leah martin,tooborac,vic,victoria,3522,australia,australia,1964-12-13
19579,female,ava reye,barcaldine,qld,queensland,4725,australia,australia,1949-10-16
19726,female,victoria daly,watanobbi,nsw,new south wales,2259,australia,australia,1973-01-28
19732,female,olivia moresby,wappilka,sa,south australia,5332,australia,australia,1981-08-31
19753,female,alyssa solander,howth,tas,tasmania,7316,australia,australia,1995-10-21
19916,male,hunter samuel,little plain,nsw,new south wales,2360,australia,australia,1991-05-13
20069,male,jesse parry-okeden,gwindinup,wa,western australia,6237,australia,australia,1980-11-24
20092,female,victoria fitzsimmons,cambridge gardens,nsw,new south wales,2747,australia,australia,1947-05-03
20237,male,riley montefiore,williamstown,vic,victoria,3016,australia,australia,1986-07-14
20623,female,eva rendall,carlyle,vic,victoria,3685,australia,australia,1994-03-11
20802,male,ben whitworth,polda,sa,south australia,5670,australia,australia,1945-07-07
20946,female,taylah walstab,winthrop,wa,western australia,6150,australia,australia,1999-11-04
21203,male,tristan dobie,chartwell,vic,victoria,3030,australia,australia,1960-02-18
21387,male,christian hughes,cremorne,nsw,new south wales,2090,australia,australia,1970-01-26
21424,male,justin tickell,heytesbury lower,vic,victoria,3268,australia,australia,1940-07-29
21460,female,kayla de beuzeville,glenlynn,wa,western australia,6256,australia,australia,1957-11-01
21523,male,jayden rennie,swanhaven,nsw,new south wales,2540,australia,australia,1969-12-06
21575,male,zac chumleigh,craigie,wa,western australia,6025,australia,australia,1991-12-29
21654,female,amber monger,parliament house,sa,south australia,5000,australia,australia,1950-02-03
21819,female,matilda blacklock,cleveland,tas,tasmania,7211,australia,australia,2000-06-18
21870,female,summer gramp,beltana,sa,south australia,5730,australia,australia,1991-11-23
22158,male,will parer,church point,nsw,new south wales,2105,australia,australia,1996-12-10
22384,male,jaxon cox,pearce,act,australian capital territory,2607,australia,australia,1951-01-24
22540,male,connor ruwolt,bandya,wa,western australia,6440,australia,australia,1989-06-12
22775,male,flynn campion,needles,tas,tasmania,7304,australia,australia,1958-08-27
22826,male,edward putilin,ashfield,qld,queensland,4670,australia,australia,1976-09-25
23128,male,zane sinclaire,summerlands,vic,victoria,3922,australia,australia,2000-01-02
23203,female,gemma philipp,madora bay,wa,western australia,6210,australia,australia,1998-08-11
23267,female,gabrielle zinnbauer,flinders view,qld,queensland,4305,australia,australia,1954-04-18
23320,female,samantha weigel,wittenoom,wa,western australia,6751,australia,australia,1960-04-15
23431,female,grace scarf,sheep hills,vic,victoria,3392,australia,australia,1970-10-27
23599,female,maddison blanc,forresters beach,nsw,new south wales,2260,australia,australia,1989-10-12
23854,male,ali wroblewski,murrawombie,nsw,new south wales,2825,australia,australia,1943-01-02
24069,male,edward carron,ulmarra,nsw,new south wales,2462,australia,australia,1985-05-20
24230,female,zoe dadswell,davoren park south,sa,south australia,5113,australia,australia,1979-10-26
24575,female,stella o'mahony,placid hills,qld,queensland,4343,australia,australia,2000-06-07
24920,female,natalie robey,corny point,sa,south australia,5575,australia,australia,1938-04-17
25308,female,angelina kates,west wiangaree,nsw,new south wales,2474,australia,australia,1987-03-12
25771,female,mikayla shenton,boolcarroll,nsw,new south wales,2388,australia,australia,1959-07-26
25864,male,zane corkill,shirley,vic,victoria,3373,australia,australia,1995-05-05
25935,male,charlie d'arcy,burnt yards,nsw,new south wales,2792,australia,australia,1975-01-13
26458,male,george creer,westbury,vic,victoria,3825,australia,australia,1979-04-28
26477,male,caleb willshire,morisset,nsw,new south wales,2264,australia,australia,1959-11-05
26642,male,noah moloney,elizabeth beach,nsw,new south wales,2428,australia,australia,1978-09-30
26728,female,gemma allan,marrickville south,nsw,new south wales,2204,australia,australia,1979-01-18
26906,male,xavier mcphee,clemton park,nsw,new south wales,2206,australia,australia,1974-06-16
26914,female,amelia england,mount cottrell,vic,victoria,3024,australia,australia,1940-10-10
26970,female,rose frater,bendigo south,vic,victoria,3550,australia,australia,1990-11-12
27125,female,ashley hornung,arno bay,sa,south australia,5603,australia,australia,1976-03-16
27210,male,liam osborn,mootai,nsw,new south wales,2325,australia,australia,1973-07-02
27356,male,hamish d'hage,turramurra,nsw,new south wales,2074,australia,australia,1969-10-02
27432,female,mikayla favenc,cleve,sa,south australia,5640,australia,australia,1998-09-26
27492,female,bianca coombe,yambuk,vic,victoria,3285,australia,australia,1987-11-04
27616,male,cameron tebbutt,bannockburn,vic,victoria,3331,australia,australia,1987-05-17
27896,male,zachary mcleish,jacup,wa,western australia,6337,australia,australia,1973-10-17
27945,male,charlie stralia,sofala,nsw,new south wales,2795,australia,australia,1974-05-20
28076,female,alannah onus,avoca,tas,tasmania,7213,australia,australia,1979-01-02
28559,male,samuel israel,yilki,sa,south australia,5211,australia,australia,1968-12-07
28690,male,leo walcott,millchester,qld,queensland,4820,australia,australia,1987-09-12
28702,female,charli lhotsky,drewvale,qld,queensland,4116,australia,australia,1966-06-30
29041,male,logan barling,lindenow,vic,victoria,3865,australia,australia,1937-11-14
29278,male,justin hartog,pinevale,qld,queensland,4754,australia,australia,1990-09-04
29303,male,max cohn,kirton point,sa,south australia,5606,australia,australia,1983-05-01
29320,male,levi barraclough,blackbutt,nsw,new south wales,2529,australia,australia,1938-10-14
29475,female,madison pocock,tuross,nsw,new south wales,2630,australia,australia,1965-07-03
29555,male,owen edouard,glen martin,nsw,new south wales,2321,australia,australia,1992-07-03
29593,male,liam nettleton,bakara,sa,south australia,5354,australia,australia,1995-08-18
29647,female,jessica maynard,brenda,nsw,new south wales,2831,australia,australia,1956-05-28
29689,female,alexis phillipps,burwood heights,nsw,new south wales,2136,australia,australia,1966-08-28
29812,male,marcus napier,st kilda road central,vic,victoria,3004,australia,australia,1966-11-19
29837,female,rebecca jaques,mount george,nsw,new south wales,2424,australia,australia,1938-08-14
29973,female,lauren langton,duckinwilla,qld,queensland,4650,australia,australia,1937-09-24
30090,male,george farrer,park avenue,qld,queensland,4701,australia,australia,1960-10-07
30278,female,madeleine kiddle,jacana,vic,victoria,3047,australia,australia,1945-09-12
30428,female,sienna conrick,earlston,vic,victoria,3669,australia,australia,1999-12-01
31086,female,kate snowden,wittenoom,wa,western australia,6751,australia,australia,1985-01-30
31164,male,hunter boehm,bowes,wa,western australia,6535,australia,australia,1948-06-15
31236,female,abby warburton,three bridges,vic,victoria,3797,australia,australia,1959-08-08
31288,male,adam banning,clay wells,sa,south australia,5280,australia,australia,1988-08-28
31374,female,ellie griffin,st agnes,sa,south australia,5097,australia,australia,1960-12-02
31721,female,alyssa isaacs,gulfview heights,sa,south australia,5096,australia,australia,1961-01-19
31784,male,zac scherk,wamban,nsw,new south wales,2537,australia,australia,1968-01-02
32037,male,aaron knopwood,lake mokoan,vic,victoria,3673,australia,australia,1989-02-14
32190,female,paige lacey,delamere,sa,south australia,5204,australia,australia,1954-10-28
32259,female,ashley dane?,sevenhill,sa,south australia,5453,australia,australia,1975-11-21
32294,male,kai nepean,rite island,qld,queensland,4807,australia,australia,1948-08-04
32455,female,charlotte crane,mosquito creek,qld,queensland,4387,australia,australia,1997-05-09
32488,male,max wylie,stafford dc,qld,queensland,4053,australia,australia,1954-03-15
32511,male,jasper glassop,woodford,nsw,new south wales,2463,australia,australia,1964-02-29
32538,female,eva hazon,boomoodeerie,nsw,new south wales,2469,australia,australia,1986-07-20
32939,female,alica sizer,wongulla,sa,south australia,5238,australia,australia,1951-06-09
33036,male,tyler galvin,byng,nsw,new south wales,2798,australia,australia,1959-07-31
33205,male,andrew hollway,crystal brook,qld,queensland,4800,australia,australia,1943-01-10
33444,male,brodie thirkell,clayton,vic,victoria,3168,australia,australia,1968-01-09
34081,female,imogen permewan,fyans creek,vic,victoria,3381,australia,australia,1939-05-08
34126,female,victoria tasman,meningie east,sa,south australia,5264,australia,australia,1967-09-07
34143,male,john gowlland,warranwood,vic,victoria,3134,australia,australia,1991-04-07
34431,male,leo badger,beaconsfield,wa,western australia,6162,australia,australia,1940-02-02
34451,male,harry edwin,gladstone,nsw,new south wales,2440,australia,australia,1972-11-01
34462,male,tyson tishler,talaroo,qld,queensland,4871,australia,australia,1938-07-09
34850,female,caitlin o'loghlin,blue vale,nsw,new south wales,2380,australia,australia,1960-11-30
34915,female,kate byles,mount crystal,nsw,new south wales,2665,australia,australia,1969-01-28
35257,female,ella oxenham,fernhill,nsw,new south wales,2519,australia,australia,1970-02-20
35479,male,jeremy petre,cossack,wa,western australia,6720,australia,australia,1978-06-08
35703,male,rory cotton,lugarno,nsw,new south wales,2210,australia,australia,1961-12-14
35733,female,charlotte shaw,waroona,wa,western australia,6215,australia,australia,1955-05-14
35795,male,riley clegg,moyarra,vic,victoria,3951,australia,australia,1995-08-07
36112,female,emma gepp,annuello,vic,victoria,3549,australia,australia,1937-02-12
36336,female,anna burston,djarawong,qld,queensland,4854,australia,australia,1990-09-21
36418,female,jorja whitlam,mount david,nsw,new south wales,2795,australia,australia,1946-02-18
36507,male,joseph paten,golden valley,tas,tasmania,7304,australia,australia,1955-03-23
36816,male,luke lazenby,longwarry north,vic,victoria,3816,australia,australia,1971-05-18
36918,male,blake mann,owen,sa,south australia,5460,australia,australia,1982-11-06
37070,female,alyssa hooker,wanganui,nsw,new south wales,2482,australia,australia,1981-07-18
37251,male,leo scerri,gherang,vic,victoria,3240,australia,australia,1951-06-17
37408,male,jaxon rebell,torrens,act,australian capital territory,2607,australia,australia,1975-10-11
37580,female,mariam baylee,tomahawk,tas,tasmania,7262,australia,australia,1942-01-12
37585,female,lauren fink,yelta,sa,south australia,5558,australia,australia,1944-04-17
37802,male,luke byron,south dudley,vic,victoria,3995,australia,australia,1990-07-09
37991,male,cooper gillison,carwell,nsw,new south wales,2849,australia,australia,1937-01-06
38006,male,lachlan postle,dyraaba,nsw,new south wales,2470,australia,australia,1955-10-29
38036,female,kiara schaw,upper yarraman,qld,queensland,4614,australia,australia,1960-07-26
38183,male,hunter montagu,new italy,nsw,new south wales,2472,australia,australia,1944-07-30
38195,female,sara roe,paynedale,wa,western australia,6239,australia,australia,1972-11-22
38212,female,stella cain,wooroonook,vic,victoria,3525,australia,australia,1985-01-28
38558,female,audrey bold,bostobrick,nsw,new south wales,2453,australia,australia,1946-05-19
38613,male,hamish mason,tacoma,nsw,new south wales,2259,australia,australia,1988-03-16
38865,male,christopher edmund,windorah,qld,queensland,4481,australia,australia,1948-08-17
38950,female,hannah edmond,arthur river,tas,tasmania,7330,australia,australia,1954-12-08
39183,male,julian gutteridge,kurmond,nsw,new south wales,2757,australia,australia,1973-04-25
39246,male,darcy falconer,mandalay,qld,queensland,4802,australia,australia,1974-10-20
39268,female,madeleine marx,kallangur,qld,queensland,4503,australia,australia,1975-07-24
39314,male,leo ligar,light pass,sa,south australia,5355,australia,australia,1985-04-20
39498,female,amy curtain,swanbrook,nsw,new south wales,2360,australia,australia,1996-08-13
39582,male,mason therry,risdon,tas,tasmania,7017,australia,australia,1974-03-15
39592,female,alicia muntz,south springfield,tas,tasmania,7260,australia,australia,1965-04-20
39894,female,samantha begg,junee,nsw,new south wales,2663,australia,australia,1941-02-26
39927,male,bailey barnet,sorell,tas,tasmania,7172,australia,australia,1984-05-15
39996,male,harry dawes,bendoura,nsw,new south wales,2622,australia,australia,2001-05-09
40052,female,isabel dettmann,waverton,nsw,new south wales,2060,australia,australia,1957-09-06
40221,male,jonathan hammond,para hills west,sa,south australia,5096,australia,australia,2001-11-01
40327,female,madeleine laing,pialligo,act,australian capital territory,2609,australia,australia,1940-08-23
40363,female,alyssa henslowe,double bay,nsw,new south wales,2028,australia,australia,1984-07-08
40443,female,amber normanby,carss park,nsw,new south wales,2221,australia,australia,1938-04-13
40649,male,kai de vis,kangiara,nsw,new south wales,2582,australia,australia,1972-11-29
40662,male,oliver michie,mount hicks,tas,tasmania,7325,australia,australia,1960-12-18
40669,male,cody wheare,martins creek,nsw,new south wales,2420,australia,australia,1968-09-22
40741,male,leo bussau,harlaxton,qld,queensland,4350,australia,australia,1937-06-13
41281,male,lincoln d'albertis,fitzgeralds mount,nsw,new south wales,2799,australia,australia,1945-10-27
41386,female,stephanie grant,seal bay,sa,south australia,5223,australia,australia,1948-06-20
41570,male,rory brough,east point,nt,northern territory,820,australia,australia,1937-08-15
41674,male,jonathan hodges,north lake grace,wa,western australia,6353,australia,australia,1938-03-04
41707,male,joseph wheeler,yallah,nsw,new south wales,2530,australia,australia,1957-04-19
41892,female,madeline eales,dargan,nsw,new south wales,2786,australia,australia,1983-01-09
42134,male,benjamin ethel,east yuna,wa,western australia,6532,australia,australia,1942-09-22
42177,male,brock james,elleker,wa,western australia,6330,australia,australia,1960-07-19
42364,female,layla silas,marlo merrican,nsw,new south wales,2446,australia,australia,1952-09-27
42408,male,noah hinchcliffe,the palms,qld,queensland,4570,australia,australia,1988-11-04
42474,male,alexander leane,nubba,nsw,new south wales,2587,australia,australia,2000-05-23
42603,female,amy sawyer,cushnie,qld,queensland,4608,australia,australia,2000-10-09
42840,female,savannah lansell,xantippe,wa,western australia,6609,australia,australia,1936-05-23
42956,male,ben raff,bara,nsw,new south wales,2850,australia,australia,1944-05-06
43784,male,jeremy iliffe,snowtown,sa,south australia,5520,australia,australia,1951-03-19
43798,female,rachel welch,amamoor,qld,queensland,4570,australia,australia,1966-01-11
43840,female,rose vlamingh,oatlands,tas,tasmania,7120,australia,australia,1950-01-19
44080,female,rachel baldwin,brighton,vic,victoria,3186,australia,australia,1954-01-20
44195,male,brayden topp,lower mangrove,nsw,new south wales,2250,australia,australia,1984-01-09
44207,female,stella sternberg,keswick terminal,sa,south australia,5035,australia,australia,1984-03-16
44301,female,annabelle feetham,dunnrock,qld,queensland,4740,australia,australia,1947-10-04
44493,female,jorja colechin,jackeys marsh,tas,tasmania,7304,australia,australia,1963-04-28
44496,male,spencer beach,mount joy,sa,south australia,5670,australia,australia,1949-09-28
44728,female,abbey remington,diggora,vic,victoria,3561,australia,australia,1953-03-14
44906,male,tyson backhouse,mount gambier,sa,south australia,5291,australia,australia,1994-10-06
45169,female,victoria ness,glenroy,qld,queensland,4702,australia,australia,1990-04-04
45172,female,audrey crooke,scopus,tas,tasmania,7330,australia,australia,1986-05-25
45250,male,darcy fryer,sackville,nsw,new south wales,2756,australia,australia,1968-11-21
45436,female,maya mcilveen,millfield,nsw,new south wales,2325,australia,australia,1952-04-16
45522,male,alexander fenston,timbillica,nsw,new south wales,2551,australia,australia,1985-04-09
45781,male,bailey coxen,pontville,tas,tasmania,7030,australia,australia,1946-02-27
45814,male,declan richard,spring hill,nsw,new south wales,2800,australia,australia,1968-04-05
46155,female,alice phillip,bowes,wa,western australia,6535,australia,australia,1956-02-16
46917,male,jamie price,meru,wa,western australia,6530,australia,australia,2000-01-03
46996,male,jonathan kempt,murray island,qld,queensland,4875,australia,australia,1987-02-20
47382,female,brooke richardson,northgate,sa,south australia,5085,australia,australia,1955-05-02
47518,female,alana spencer,undullah,qld,queensland,4285,australia,australia,1946-05-13
47712,male,aidan dethridge,cremorne,nsw,new south wales,2090,australia,australia,1976-08-30
48080,male,lincoln muscio,ferny creek,vic,victoria,3786,australia,australia,1940-04-10
48247,male,joseph clemes,hay flat,sa,south australia,5204,australia,australia,1967-05-05
48367,female,rose allardyce,inskip,qld,queensland,4581,australia,australia,1949-04-09
48383,female,chloe gillen,koyuga south,vic,victoria,3621,australia,australia,1951-06-06
48466,female,matilda shields,hastings point,nsw,new south wales,2489,australia,australia,1984-12-13
48733,female,sophia gunther,balcolyn,nsw,new south wales,2264,australia,australia,1989-07-22
48846,female,lucy kellway,bowelling,wa,western australia,6225,australia,australia,1944-11-04
48925,male,elijah albert,woolocutty,wa,western australia,6369,australia,australia,1939-09-15
49400,male,mason ransford,woombye,qld,queensland,4559,australia,australia,1967-03-15
49501,female,amelie edmondson,bungabbee,nsw,new south wales,2480,australia,australia,1982-07-16
49606,female,claire kerr,greymare,qld,queensland,4370,australia,australia,1950-04-10
49748,male,tyson flowers,paruna,sa,south australia,5311,australia,australia,1980-02-14
49776,female,jessica warburton,rockley mount,nsw,new south wales,2795,australia,australia,1944-07-31
49950,female,tayla canterbury,east launceston,tas,tasmania,7250,australia,australia,1998-10-18
50075,male,jayden lloyd,mount murchison,qld,queensland,4715,australia,australia,1961-11-07
50122,female,brianna o'neil,surbiton,qld,queensland,4724,australia,australia,1979-09-30
50681,male,benjamin makin,mount druitt village,nsw,new south wales,2770,australia,australia,1936-11-18
50705,female,scarlett reeve,yeagarup,wa,western australia,6260,australia,australia,1948-08-23
50719,female,angelina wunderlich,point grey,wa,western australia,6208,australia,australia,1995-03-27
50741,male,tyson hurley,frankford,tas,tasmania,7275,australia,australia,1942-01-23
51172,female,gabriella tozer,elingamite,vic,victoria,3266,australia,australia,1957-12-04
51201,female,samantha jacoby,birmingham gardens,nsw,new south wales,2287,australia,australia,1939-03-04
51228,male,marcus christian,giru,qld,queensland,4809,australia,australia,1978-01-31
51314,female,bianca stobie,duverney,vic,victoria,3323,australia,australia,1954-06-23
51429,male,thomas kavel,wonboyn lake,nsw,new south wales,2551,australia,australia,1979-01-05
